Specs,Name,Features,Output
"{'Material': 'Muslin', 'Color': 'Natural', 'Fabric Type': '100% Natural Cotton Muslin Fabric', 'Brand': 'GravitationOnline', 'Pattern': 'Plain'}",100% Natural Cotton Muslin Fabric - 63in Wide X 3yds Long (Medium Weight),100% natural Muslin unbleached Cotton. 63 Inches wide x 3 Yard length (4. 5 oz.,"The 100% Natural Cotton Muslin Fabric is perfect for a variety of projects. The fabric is made of 100% natural cotton muslin, making it soft and durable. The fabric is also unbleached, making it perfect for dyeing or printing. The fabric is 63 inches wide and 3 yards long, making it perfect for a variety of projects."
"{'Brand': 'Southworth', 'Color': 'White', 'Item Weight': '4.27 Pounds', 'Paper Finish': 'Wove', 'Sheet Size': '8-1/2-x-11-inch Inches'}","SouthworthÂ® 100% Cotton Business Paper, 8 1/2"" x 11"", 32 Lb, White, Box of 250","Make lasting impressions with 100% cotton business paper.  This Southworth stationery and laser paper features a crisp texture for high-quality prints. Crisp texture of 100% cotton paper has an elegant look and feel. Traditional smooth, wove-finish bond paper. Stationery in versatile 32-lb writing weight. Fine paper for professional correspondence, letterhead paper, legal documents, business proposals and more.","The Southworth 100% Cotton Business Paper is a versatile, 32-lb writing weight paper that is perfect for professional correspondence, letterhead paper, legal documents, business proposals and more. The crisp texture and elegant look and feel of the 100% cotton paper make it a great choice for making lasting impressions."
"{'Material': 'Cotton', 'Brand': 'Spinrite', 'Color': 'Asst 62', 'Item Dimensions LxWxH': '9 x 7 x 3 inches', 'Number of Pieces': '10'}",Lily Sugar n' Cream Variety Assortment 6 Pack Bundle 100% Cotton Medium 4 Worsted with 4 Patterns (Asst 62),"Made in USA and Imported. Bundle includes 6 skeins of Lily Sugar 'n Cream yarn as shown.  Popular for making dishcloths. Colors included are Tea Rose, Rose Pink, Light Blue, Soft Ecru, Robins Egg and Beach Glass.  Patterns included are Poncho, Circles Throw, 4-Square Dishcloth and Sachet. Solids are 2. 5 ounce and 120 yards. 100% Cotton.  Made in Canada with cotton grown in the USA. Medium Weight #4; also referred to as Aran, Worsted or Afghan weight knitting yarn Gauge is 4""=20 stitches on size 7 needles; suggested crochet hook: H8. Wash colors separately, some colors may run.  Wash in warm water, delicate setting.  Do not iron or bleach.  For best results dry cleaning multicolored large projects is recommended.","The best-selling Lily Sugar 'n Cream yarn is a 100% cotton yarn with a versatile selection of colors and patterns. Made in Canada with cotton grown in the USA, this medium weight #4 yarn is popular for making dishcloths, socks, sweaters, blankets, shawls and more. The best-selling Lily Sugar 'n Cream yarn is available in 6 skeins that are perfect for making dishcloths or other popular items like socks or sweaters. It's also great for crocheters because it's machine washable!"
"{'Color': 'Orange', 'Brand': 'Clear Power', 'Connector Gender': 'Male-to-Female', 'Voltage': '125 Volts', 'Input Current': '10 Amps'}","Clear Power 100 ft Outdoor Extension Cord 16/3 SJTW, 3-Prong Grounded Plug, Orange, Water & Weather Resistant, Flame Retardant, General Purpose Power Cord for Lawn & Garden, DCOC-0118-DC","Water, weather and abrasion resistant & flame retardant. Works in temperatures from -40F up to +140F. Nickel coated brass blades won't corrode which helps prevent arcing. GROUNDED plug and connector 10Amps/125Volts/1250Watts.","The Clear Power 100 ft Outdoor Extension Cord is the perfect way to extend the reach of your power tools and appliances. With a water, weather and abrasion resistant design, this cord is built to last. The flame retardant construction ensures safety while in use, and the grounded plug and connector provide a secure connection."
"{'Mounting Type': 'Ceiling Mount,Ceiling,Wall', 'Material': 'Front', 'Brand': 'Elite Screens', 'Item Weight': '15 Pounds'}",Elite Screens Manual B 100-INCH Manual Pull Down Projector Screen Diagonal 16:9 Diag 4K 8K 3D Ultra HDR HD Ready Home Theater Movie Theatre White Projection Screen with Slow Retract Mechanism M100H,"SIZE: 100-INCH Diagonal 16:9 Aspect Ratio.  View Size 49. 0"" H x 87. 0"" W Overall Size 59. 8"" H x 93. 8"" W x 2. 8"" D.  White Case. SCREEN MATERIAL: MaxWhite 2 - 8K / 4K Ultra HD and Active 3D Ready.  FRONT Projection.  Featuring a 180 Viewing Angle and 1. 1 Gain.  Fully Black Backed.  GreenGuard and GreenGuard GOLD Certified.  Compatible with Standard UHD/HD projectors. FEATURES: 2-inch interval auto-lock mechanism that allow for various height settings and a screen lanyard for easy pull down. Fast and easy installation.  Optional 6"" and 12"" L brackets available. WARRANTY: 2-Year / 3-Year ENR-G, Manufacturer's Warranty by Elite Screens' an ISO9001 manufacturer since 2004 and Lifetime Tech Support by Email, Web Chat or Toll Free Phone Call by Elite's Professional Service Team.","The Elite Screens Manual B 100-INCH Manual Pull Down Projector Screen is a great solution for those looking for a projector screen that is small and easy to use. With its size of 100-inch diagonal, it's perfect for classrooms and home theater setups. The white case makes it easy to blend into any decor, while the greenguard and gold certified materials ensure you're getting an environmentally friendly product that won't harm the environment. This manual pull down projector screen features an auto-lock mechanism that allows for various height settings and a screen lanyard in order to make installation quick and easy."
"{'Mounting Type': 'Cart', 'Movement Type': 'Tilt', 'Brand': 'VIVO', 'Material': 'Alloy Steel, Aluminum', 'TV Size': '100 Inches', 'Color': 'Silver', 'Minimum Compatible Size': '60 Inches', 'Compatible Devices': 'Televisions', 'Maximum Tilt Angle': '10 Degrees'}","VIVO Aluminum Mobile TV Cart for 32 to 100 inch Screens up to 220 lbs, LCD LED OLED 4K Smart Flat and Curved Panels, Heavy Duty Stand, Shelf, Wheels, Max VESA 1000x600, Silver, STAND-TV22S","Fits 32"" To 100"" TV's - Compatible with most 32"" to 100"" screens weighing up to 220 lbs with VESA patterns of 200x200, 300x200, 300x300, 400x200, 400x300, 400x400, 600x400, 800x400, or 1000x600mm.  Holds most LCD, LED, OLED, 4K, Smart, Outdoor, Flat, and Curved TV types. Mobile Floor Cart - The 45 x 27. 5 base features 4 locking casters to make the cart stationary or mobile when desired.  The sturdy middle shelf holds laptops, DVD players, streaming devices, and more.  High-grade steel and aluminum combined with dual pillar support keeps your equipment safe and secure. Tilt & Height Adjustment - Enjoy the best viewing angles and reduce screen glare with +5 to -10 tilt and height adjustment from 48 to 68.  Integrated cable management gives the whole display a clean and organized appearance. Installation - Hardware is provided and weve created written and video instructions to help get your TV mounted in no time. Warranty and Support - This TV cart is backed with a 3 Year Manufacturer Warranty and knowledgeable US-based tech support to help with any questions or concerns.","The VIVO Aluminum Mobile TV Cart is a perfect choice for those in need of a durable and sturdy TV cart that is easy to move and set up. The VIVO TV cart is made of high-quality aluminum and steel and can hold most 32"" to 100"" screens weighing up to 220 lbs. With its four locking casters, the VIVO TV cart is easy to move around and keep in place. The VIVO TV cart also features tilt and height adjustment from +5 to -10 degrees and 48 to 68 inches, respectively, to give you the best viewing angles and reduce screen glare. The VIVO TV cart also comes with integrated cable management to give the whole display a clean and organized appearance."
"{'Material': 'Other', 'Size': '2""', 'Color': 'Tan', 'Brand': 'Tac Shield', 'Number of Items': '1'}","Tac Shield 3985 100 MPH Tape 10 Yards Tan, Multi, 2""",Package length: 9. 906 cm. Package width: 9. 652 cm. Package height: 4. 826 cm.,The Tac Shield 3985 100 MPH Tape 10 Yards Tan is a high quality product that is perfect for those who are looking for a reliable and durable tape. This tape is made of a high quality material that is designed to resist tears and wear. The Tac Shield 3985 100 MPH Tape 10 Yards Tan is also UV and water resistant.
"{'Special Feature': 'Shatter resistant, Instant On, Damp Location', 'Light Type': 'Halogen, LED', 'Indoor/Outdoor Usage': 'Outdoor, Indoor', 'Wattage': '16 watts', 'Light Color': 'Warm White'}","Hykolity 100W Equivalent A19 LED Light Bulbs, 1600 Lumens, 16W, 5000K Daylight White, Non-Dimmable E26 Medium Base, No Flicker, UL Listed (12 Pack)","Up to 85% Energy Saving - ""16W 1600LM"" means a high efficacy of 100LM/W, 100W equivalent to a traditional light bulbs.  Estimated yearly energy cost: $1. 93 (based on 3-hour/day, 11/kWh, cost depends on rates and use). High Performance - Our A19 light bulbs offer comfortable lighting with high 80+ CRI and good quality LED chip that has no flicker, strobe or glare.  Instant on, no warm up needed. Lasts 25,000 Hours - UL(E365777) certified light bulbs uses high quality LEDs which are more energy saving and environmental protection (no UV, IR, or mercury) and have longer lifetime up to 25,000 hours than halogen/incandescent/fluorescent bulbs. Wide Application - The 100 watt led bulb is NOT recommended for use in TOTALLY ENCLOSED luminaires, it will shorten the service life.  It is ideal for use in table lamps, floor lamps, open pendant fixtures, indoor and some covered outdoor locations. 3 Years Warranty - Our A19 bulbs are confidently guaranteed for 3 years! We aim for quality followed up with quality customer service directly provided by manufacturer.  We offer free-exchange for any quality problems within warranty.","The Hykolity A19 LED Light Bulb is a great choice for those who are looking for an energy-saving and environmentally-friendly alternative to traditional light bulbs. These bulbs use high-quality LEDs that are designed to last up to 25,000 hours, and they offer a comfortable lighting experience with no flicker, strobe, or glare. They are also UL-certified for safety and are backed by a 3-year warranty."
"{'Specific Uses For Product': 'Personal, Gaming', 'Refresh Rate': '144 Hz', 'Brand': 'LG', 'Screen Size': '27 Inches', 'Screen Surface Description': 'Hard coating (3H)'}","LG 27GL83A-B 27 Inch Ultragear QHD IPS 1ms NVIDIA G-SYNC Compatible Gaming Monitor, Black","27 inch QHD (2560 X 1440) IPS display. IPS 1ms response time & 144Hz refresh rate. NVIDIA G-SYNC Compatible.  Surface Treatment-Haze 25%, 3H. 3-Side virtually borderless design. Tilt, Height, Pivot adjustable stand.  Dimensions Without Stand (WxHxD)- 24. 2 x 14. 4 x 2.","The LG 27GL83A-B 27 Inch Ultragear QHD IPS 1ms NVIDIA G-SYNC Compatible Gaming Monitor is the perfect addition to your gaming setup. With a fast 1ms response time and 144Hz refresh rate, this monitor is designed for gamers who are looking for speed and efficiency. The NVIDIA G-SYNC compatibility ensures that your games will look their best, while the 3-side virtually borderless design provides a sleek and immersive gaming experience."
"{'Power Source': 'Corded Electric', 'Brand': 'TCL', 'Model Name': 'Home Series', 'Special Feature': 'Remote control', 'Color': 'White', 'Item Dimensions LxWxH': '21.5 x 19.76 x 15.16 inches', 'Item Weight': '63.93 Pounds', 'Control Method': 'Remote', 'Self Timer Duration': '24 Hours', 'Voltage': '115 Volts'}","TCL 10W3E1-A Home Series Window-air-Conditioner, 10,000 BTU, White","POWERFUL COOLING CAPACITY: The 10,000 BTU window air conditioner is powerful enough to cool rooms up to 450 sq.  ft.  and features multiple fan speeds that allow you to choose your level of comfort. COMFORTABLY QUIET: Thoughtfully designed to not disturb you, this ac unit noise level is as low as 54 decibels so you can enjoy serene cooling in peace. ENERGY SAVINGS: TCLs line of Energy Star Certified window AC units help you save on your energy bill when compared to similar models. KEEP YOUR ENERGY BILL LOW: Sleep mode lowers your energy bill to keep you comfortable at night while eco-mode saves you energy during the day. COOLING EVERYWHERE YOU NEED IT: Customize the direction of airflow to where you need it most with 8-way cooling using two 4-way directional vents. EASY AND CONVENIENT CONTROL: The LED display makes controlling your window air conditioner simple while the included remote lets you effortlessly control the unit without ever leaving the couch. RESTARTS AUTOMATICALLY: Auto-restart ensures your AC unit turns on automatically to provide comfort even after a power outage.","The TCL 10W3E1-A Home Series Window-air-Conditioner is a powerful and efficient way to cool your home. With a 10,000 BTU capacity, it can cool rooms up to 450 square feet and features multiple fan speeds for your comfort. This air conditioner also has a low noise level of 54 decibels, making it perfect for use in any room. The TCL 10W3E1-A Home Series Window-air-Conditioner also features an LED display for easy control and a remote for convenient operation. This air conditioner also has an auto-restart function for added convenience."
"{'Connector Type': 'RJ45', 'Cable Type': 'Ethernet', 'Brand': 'Monoprice', 'Gauge': '30.0', 'Specification Met': 'No'}","Monoprice Cat5e Ethernet Patch Cable - 3 Feet - Black | Network Internet Cord - RJ45, Flat,Stranded, 350Mhz, UTP, Pure Bare Copper Wire, 30AWG","Unshielded Twisted Pairs (UTP). 350MHz bandwidth. 50m gold plated contacts. Color matched, snagless strain relief boots.","The Monoprice Cat5e Ethernet Patch Cable is the perfect way to connect your computer to a network. With a 350MHz bandwidth and 50m gold plated contacts, this cable is designed for high-speed data transfer. The color matched, snagless strain relief boots make it easy to connect and disconnect, while the flat, stranded design helps reduce crosstalk."
"{'Refresh Rate': '75 Hz', 'Brand': 'ASUS', 'Screen Size': '27 Inches', 'Hardware Interface': 'VGA, HDMI', 'Connectivity Technology': 'VGA, D-Sub, HDMI'}","ASUS VP279HE 27â Monitor, 1080P Full HD, 75Hz, IPS, Adaptive-Sync/FreeSync, Eye Care, HDMI VGA, Frameless, Low Blue Light, Flicker Free, VESA Wall Mountable",27-inch Full HD (1920 x 1080) LED backlight display with IPS 178 wide viewing angle panel. Up to 75Hz refresh rate with Adaptive-Sync/FreeSync technology to eliminate tracing and ensure crisp and clear video playback. Extensive connectivity with HDMI and D-sub (VGA) ports. ASUS Eye Care technology features TV Rheinland-certified Flicker-free and Low Blue Light technologies to ensure a comfortable viewing experience.,"The ASUS VP279HE is a 27"" Full HD monitor with an IPS panel and a wide 178 viewing angle. The monitor has a 75Hz refresh rate and Adaptive-Sync/FreeSync technology to eliminate tracing and ensure crisp and clear video playback. The monitor also features ASUS Eye Care technology with TV Rheinland-certified Flicker-free and Low Blue Light technologies to ensure a comfortable viewing experience. The connectivity options include HDMI and D-sub (VGA) ports."
"{'Model Name': 'HC880', 'Hardware Interface': 'HDMI', 'Mounting Type': 'Wall Mount', 'Brand': 'Epson', 'Brightness': '3300 Lumen'}","Epson Home Cinema 880 3-chip 3LCD 1080p Projector, 3300 lumens Color and White Brightness, Streaming and Home Theater, Built-in Speaker, Auto Picture Skew, 16,000:1 Contrast, HDMI 2.0, White","Stunning picture quality provides stunning, detailed 1080p images and fast data processing thats optimized for fast-action sports, gaming and more. Ultra bright images 3,300 lumens of color and white brightness deliver outstanding-quality images in a variety of lighting conditions (2). Best-in-Class Color Brightness (1) advanced 3LCD technology displays 100% of the RGB color signal for every frame.  This allows for outstanding color accuracy while maintaining excellent color brightness, without any distracting rainbowing or color brightness issues seen with other projection technologies. All-digital HDMI connectivity easily connect your cable/satellite box, Blu-ray Disc player, gaming console or streaming device. Easy setup built-in speaker and easy setup for HD entertainment right out of the box. Built-in picture skew sensor automatically analyzes the picture and instantly corrects the keystone for a square image.","The Epson Home Cinema 880 3-chip 3LCD 1080p Projector is the perfect choice for streaming movies and gaming. With a color brightness of 3,300 lumens and stunning picture quality, you'll be able to see an outstanding image in any lighting condition. The advanced 3LCD technology displays 100% of the RGB color signal for every frame, which allows for outstanding color accuracy while maintaining excellent color brightness, without any distracting rainbowing or color brightness issues seen with other projection technologies."
{},"10k Yellow Gold Rope Chain Barely-There Necklace (0.7 mm, 0.9 mm, 1 mm or 1.3 mm) - Thin And Lightweight","MATERIAL - This chain is made with 100% real 10 karat gold.  It is not gold plated, not gold filled, not gold over sterling silver.  This necklace is stamped 10k. DIMENSIONS - This rope chain is 0. 7 millimeters wide and 14 inches or 35. 5 centimeters long (very short like a choker).  This 10k gold chain is thin and lightweight.  It secures with a spring ring clasp. TARNISH PROOF - This chain will not tarnish nor change color and will not turn the skin green.  It can be worn in the shower, while swimming, and at the gym.  This chain withstands water and sweat. GIFT READY - Our jewelry is shipped in an elegant gift box or pouch, perfect for any occasion such as anniversary, birthday, Christmas, Mother's Day, Valentine's Day, Wedding, Father's Day and others. WHY CHOOSE US - We are a 40 year old US based company from New York City and have been successfully selling on Amazon since 2004.  Shop with confidence and enjoy a 30-day, 100% money-back guarantee.","This 10k yellow gold rope chain is the perfect piece to wear with a delicate dress, shorts, skirt or pants. This necklace is a great option for those who are looking for something thin and light that still looks elegant. The chain is stamped with 10k and can be worn in the shower, while swimming, and at the gym. Tarnish proof and water resistant, this chain will not change color or turn the skin green."
"{'Color': 'Black', 'Frame Material': 'Glass', 'Brand': 'Smashed Banana', 'Shape': 'Square', 'Mounting Type': 'Tabletop, Wall Mount'}",10x10 Black Gallery Picture Frame with 5x5 Mat - Wide Molding - Includes Both Attached Hanging Hardware and Desktop Easel - Display Pictures 5 x 5 or 10 x 10,"CLASSIC GALLERY DESIGN: This 10x10 inch black picture frame with 5x5 inch mat features an elegant European design that will help accent any home or office.  Frames includes attached hanging hardware for easy display or an easel to feature your favorite photos on any desk or tabletop. TOP QUALITY MATERIALS: With a smooth black finish and thick glass front, this frame is built to last so your photos can hang beautifully for years.  This frame has features others don't including turn buttons on back to easily swap pictures, an easel for desktop display, and attached hardware to easily hang. TURN YOUR PHOTO INTO ART: This frame features two different photo sizes - 10x10 inches without the mat or 5x5 inches with the included white mat.  The mat opening is approximately 4. 75x4. 75 inches and photos can be attached with tape for perfect display.  Turn any photograph, drawing, or portrait into a piece of art!. EASY TO USE: Our frame comes with hanging hardware installed on the frame, so your picture can be up on the wall in minutes.  Frame also features an easel for desktop use, and turn buttons to painlessly swap out photos unlike the tabs most other frames use. GREAT GIFT IDEA: All Smashed Banana frames come in a ready-to-gift white box, perfect to give on any holiday or special occasion.","This 10x10 inch black picture frame with 5x5 inch mat features an elegant European design that will help accent any home or office. Frames includes attached hanging hardware for easy display or an easel to feature your favorite photos on any desk or tabletop. With a smooth black finish and thick glass front, this frame is built to last so your photos can hang beautifully for years. This frame has features others don't including turn buttons on back to easily swap pictures, an easel for desktop display, and attached hardware to easily hang."
